0,0.0, 6570af77949fdfbf2c5810e8, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6570af77949fdfbf2c5810e8\20854c60-ecd4-4e7f-a611-e4b768429248.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
0,0.0, 6571362a88061612aa2fc2a3, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6571362a88061612aa2fc2a3\4b99faff-fbda-4773-b658-0baa686a91f1.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
0,0.0, 6571395188061612aa2fc327, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6571395188061612aa2fc327\51ad03c4-187f-4e8a-a5cb-9c5bafcb6219.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
0,0.0, 65713f4488061612aa2fc388, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\65713f4488061612aa2fc388\7be9d22d-cd5d-4dd7-a049-0ca9ccd8601f.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
0,0.0, 65778681d629257d8ea02f5a, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\65778681d629257d8ea02f5a\f701d86f-8258-44cc-a2f2-0316caf92d1f.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
20,0.02092050209205021, 6578e48c20668da6f77cd052, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6578e48c20668da6f77cd052\19ec7d6b-ae01-4c17-ad1a-41262f6f32e3.pdf,META: {'rate_bad_separators': 0.02092050209205021, 'count_bad_separators': 20, 'ocr_reliability': 0.8}
0,0.0, 657904fc20668da6f77cd64a, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\657904fc20668da6f77cd64a\b8ce56af-dbf0-409c-b810-50b096f94bfe.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
20,0.02092050209205021, 6579bf870c64027a3b9f2cfe, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6579bf870c64027a3b9f2cfe\9fe1e8a2-7728-465f-9d4f-8e9ec3701f95.pdf,META: {'rate_bad_separators': 0.02092050209205021, 'count_bad_separators': 20, 'ocr_reliability': 0.8}
20,0.02092050209205021, 6579bfd30c64027a3b9f2d3c, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6579bfd30c64027a3b9f2d3c\62eac7ab-388c-4ff0-802e-65e96fedbd29.pdf,META: {'rate_bad_separators': 0.02092050209205021, 'count_bad_separators': 20, 'ocr_reliability': 0.8}
0,0.0, 6579c0370c64027a3b9f2d46, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6579c0370c64027a3b9f2d46\ab61c1e4-9aa4-45eb-8acb-60fa52fb132c.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
0,0.0, 6579c53c0c64027a3b9f2f34, meta:,c:\scripts-23\watchtower\wcodebase\m_formals\qa_reports_global/../../../CASE_FILES_STORAGE/storage\6579c53c0c64027a3b9f2f34\85748fd5-996c-4ad6-bdb2-9041c5c8afe7.pdf,META: {'rate_bad_separators': 0.0, 'count_bad_separators': 0, 'ocr_reliability': 1.0}
