Name,Debit,Credit
Prime Trust LLC,-1724.96,66.18
Fifth bank,-2140.07,316.45
T-Mobile,-2192.16,918.6
Wire- Empatho,-3226.57,998.06
Colony Work,-5706.61,287.43
Albert Smith,-5612.14,292.39
AT&T,-5718.26,953.11
Cabin Utilities,-5389.63,692.92
Wire - wergio Lopez,-6301.78,253.28
Georgia Tax,-4274.16,457.64
Primrose Woodstock,-11858.35,764.09
Cash App,-12352.71,874.98
Payroll Tax - New Age,-12274.23,199.42
GPC Ebill,-14118.73,348.18
Fidelity Payments,-27717.61,571.91
First Nat bank,-38014.95,834.37
Accountants World - Payrool - New Age,-43764.28,367.53
Pennymac,-43291.53,721.04
Battery 3rd Base - New Age,-44159.85,509.9
Purchase Bank Check,-48102.93,125.42
Center F48,-54378.49,44.14
Coinbase,-62292.13,678.25
Food - New Age,-75724.17,62.17
NSBC,-182066.4,611.39
Credit Card,-374315.51,550.12
Travelers Inc,-6240.23,56.96
American Express,-1141569.88,453.57
IRS USA Texas,-223.29,1008.2
Postmates - New Age Vending,-489.24,1425.28
Zelle- Marius Braun,-920.62,2143.21
Misc,-754.26,2514.17
"Online Transfer Sensel, LLC",-919.78,2887.66
State Farm Bank,-437.1,4473.55
Doordash-New Age Vending,-923.71,5834.38
Uber - New Age Vending,-216.79,7311.67
Venmo,-923.39,11486.76
Wire- Future Gen,-808.02,12947.7
Zelle Bench mint,-692.17,16164.92
Mobile Deposit,-150.54,19629.24
Cares Act,-465.21,21576.72
Checks,-364634.15,25419.46
eDeposit,-485.29,25183.88
Wire - Ontario,-952.47,26004.31
Wire Lana SPirits,-590.74,28411.6
Wire -western Alliance,-485.46,29855.94
Wire -E Ventures,-760.66,43550.05
Vacasa LLC,-674.61,42968.62
S&A New Age Vending,-366.66,64681.79
B of A Fin center,-765.95,65340.52
Wire - Bluerock,-327.56,158186.03
Planet Smoothie,-25268.63,183699.8
Deposit,-544.03,232514.68
ATM Transactions,-22042.47,264055.82
Beach Street,-904.04,304209.87
Wire Invisible Fctor,-4064.43,533777.28
Common Sense Pub,-248.14,522525.71
